"","camera","time_block","correct_species","count","datetime"
"1","WCAM01",1,"Kangaroo",1,2025-02-04 21:15:18
"2","WCAM01",2,"Kangaroo",1,2025-02-06 23:39:13
"3","WCAM01",3,"Kangaroo",1,2025-02-07 05:36:58
"4","WCAM01",4,"Kangaroo",1,2025-02-07 21:16:01
"5","WCAM01",5,"Kangaroo",1,2025-02-07 22:04:35
"6","WCAM01",6,"Kangaroo",1,2025-02-08 03:13:02
"7","WCAM01",7,"Rabbit",1,2025-02-10 22:04:30
"8","WCAM01",8,"Kangaroo",1,2025-02-14 21:47:09
"9","WCAM01",9,"Rabbit",1,2025-02-16 00:57:55
"10","WCAM01",10,"Kangaroo",1,2025-02-18 23:36:03
"11","WCAM01",11,"Kangaroo",1,2025-02-19 00:02:02
"12","WCAM01",12,"Kangaroo",1,2025-02-19 00:43:25
"13","WCAM01",13,"Kangaroo",1,2025-02-19 00:54:02
"14","WCAM01",14,"Kangaroo",1,2025-02-19 03:21:47
"15","WCAM01",15,"Kangaroo",1,2025-02-19 21:03:37
"16","WCAM01",16,"Kangaroo",1,2025-02-19 21:47:40
"17","WCAM01",17,"Kangaroo",1,2025-02-19 21:58:47
"18","WCAM01",18,"Kangaroo",1,2025-02-19 22:26:00
"19","WCAM01",19,"Kangaroo",1,2025-02-19 22:56:21
"20","WCAM01",20,"Kangaroo",1,2025-02-20 22:24:41
"21","WCAM01",21,"Kangaroo",1,2025-02-20 23:33:26
"22","WCAM01",22,"Kangaroo",1,2025-02-20 23:47:16
"23","WCAM01",23,"Kangaroo",1,2025-02-22 22:10:42
"24","WCAM01",24,"Kangaroo",1,2025-02-23 01:16:17
"25","WCAM01",25,"Kangaroo",1,2025-02-23 22:52:48
"26","WCAM01",26,"Bilby",1,2025-02-25 01:12:55
"27","WCAM01",27,"Rabbit",1,2025-02-26 03:02:38
"28","WCAM01",28,"Kangaroo",1,2025-02-28 01:41:40
"29","WCAM01",29,"Bilby",1,2025-02-28 23:50:43
"30","WCAM02",29,"Bilby",1,2025-02-09 03:20:16
"31","WCAM02",29,"Kangaroo",1,2025-02-13 04:30:58
"32","WCAM02",NA,"Kangaroo",1,2025-02-06 22:04:13
"33","WCAM03",30,"Kangaroo",3,2025-02-16 00:00:53
"34","WCAM03",NA,"Kangaroo",1,2025-02-16 00:00:52
"35","WCAM04",30,"Bilby",1,2025-02-22 20:35:44
"36","WCAM04",NA,"Bilby",1,2025-02-22 20:35:43
"37","WCAM05",29,"Cat",1,2025-02-22 01:10:15
"38","WCAM05",29,"Kangaroo",2,2025-02-19 00:28:29
"39","WCAM05",NA,"Kangaroo",1,2025-02-06 02:49:43
"40","WCAM06",29,"Bilby",1,2025-02-14 23:07:29
"41","WCAM06",29,"Cat",1,2025-02-09 04:48:16
"42","WCAM06",29,"Kangaroo",2,2025-02-21 05:27:51
"43","WCAM06",30,"Kangaroo",1,2025-03-01 05:11:14
"44","WCAM06",NA,"Cat",1,2025-02-09 04:48:15
"45","WCAM07",30,"Bilby",1,2025-02-18 23:32:05
"46","WCAM07",NA,"Bilby",1,2025-02-18 23:32:04
"47","WCAM08",29,"Bilby",1,2025-02-20 22:38:56
"48","WCAM08",29,"Cat",1,2025-02-08 00:04:37
"49","WCAM08",29,"Kangaroo",1,2025-02-15 21:56:22
"50","WCAM08",NA,"Cat",1,2025-02-08 00:04:36
"51","WCAM09",29,"Cat",1,2025-02-10 02:46:16
"52","WCAM09",29,"Kangaroo",1,2025-02-10 01:51:01
"53","WCAM09",29,"Quoll",1,2025-02-16 21:46:43
"54","WCAM09",NA,"Bilby",1,2025-02-04 22:53:24
"55","WCAM10",29,"Bilby",1,2025-02-17 02:49:34
"56","WCAM10",29,"Cat",1,2025-02-28 23:48:04
"57","WCAM10",29,"Kangaroo",1,2025-02-05 00:56:47
"58","WCAM10",29,"Quoll",1,2025-02-16 20:44:53
"59","WCAM10",NA,"Dingo",1,2025-02-05 00:56:46
"60","WCAM11",30,"Bilby",1,2025-02-26 00:41:36
"61","WCAM11",30,"Kangaroo",1,2025-02-21 01:48:45
"62","WCAM11",NA,"Kangaroo",1,2025-02-21 01:48:44
"63","WCAM14",29,"Dingo",1,2025-02-17 03:26:32
"64","WCAM14",29,"Kangaroo",1,2025-02-09 02:28:43
"65","WCAM14",29,"Rabbit",1,2025-02-05 03:21:44
"66","WCAM14",NA,"Rabbit",1,2025-02-05 03:21:43
"67","WCAM15",29,"Cat",1,2025-02-06 22:00:31
"68","WCAM15",29,"Dingo",1,2025-02-17 02:20:08
"69","WCAM15",29,"Kangaroo",3,2025-02-05 01:40:15
"70","WCAM15",NA,"Kangaroo",1,2025-02-05 01:40:14
